Product_ID,Price,Category,Date
P0001,14670,Accessories,03-07-2025
P0002,5773,Stationery,28-07-2025
P0003,1568,Sports,12-07-2025
P0004,1430,Electronics,07-07-2025
P0005,10995,Electronics,14-07-2025
P0006,16383,Electronics,04-07-2025
P0007,8265,Books,11-07-2025
P0008,14746,Fashion,12-07-2025
P0009,10436,Books,02-07-2025
P0010,14377,Toys,31-07-2025
P0011,13351,Laptop,29-07-2025
P0012,2305,Books,18-07-2025
P0013,5775,Books,25-07-2025
P0014,1491,Accessories,18-07-2025
P0015,3589,Sports,28-07-2025
P0016,3054,Stationery,06-07-2025
P0017,11113,Sports,22-07-2025
P0018,14182,Books,23-07-2025
P0019,2655,Home Kitchen,15-07-2025
P0020,4816,Laptop,29-07-2025
P0021,1656,Toys,10-07-2025
P0022,11564,Laptop,09-07-2025
P0023,11438,Sports,18-07-2025
P0024,7277,Stationery,21-07-2025
P0025,18665,Books,20-07-2025
P0026,8947,Laptop,06-07-2025
P0027,12849,Beauty,16-07-2025
P0028,9314,Electronics,14-07-2025
P0029,8000,Beauty,29-07-2025
P0030,7257,Beauty,17-07-2025
P0031,14999,Toys,01-07-2025
P0032,18621,Electronics,23-07-2025
P0033,620,Home Kitchen,17-07-2025
P0034,13898,Fashion,06-07-2025
P0035,7575,Stationery,03-07-2025
P0036,4732,Beauty,03-07-2025
P0037,11955,Laptop,01-07-2025
P0038,19420,Sports,11-07-2025
P0039,17759,Home Kitchen,23-07-2025
P0040,11906,Laptop,09-07-2025
P0041,19772,Books,31-07-2025
P0042,18523,Stationery,14-07-2025
P0043,8055,Toys,12-07-2025
P0044,15006,Beauty,16-07-2025
P0045,8471,Laptop,19-07-2025
P0046,10334,Books,12-07-2025
P0047,14406,Laptop,30-07-2025
P0048,4996,Stationery,11-07-2025
P0049,17295,Sports,25-07-2025
P0050,7271,Beauty,17-07-2025
P0051,3794,Fashion,22-07-2025
P0052,18835,Electronics,09-07-2025
P0053,504,Electronics,12-07-2025
P0054,19813,Sports,03-07-2025
P0055,2590,Laptop,10-07-2025
P0056,11646,Fashion,06-07-2025
P0057,3098,Sports,19-07-2025
P0058,8382,Laptop,16-07-2025
P0059,9735,Stationery,05-07-2025
P0060,10739,Toys,07-07-2025
P0061,2293,Sports,26-07-2025
P0062,2883,Home Kitchen,28-07-2025
P0063,14391,Accessories,04-07-2025
P0064,16799,Toys,21-07-2025
P0065,18241,Beauty,08-07-2025
P0066,19715,Accessories,31-07-2025
P0067,5986,Fashion,31-07-2025
P0068,5221,Laptop,09-07-2025
P0069,17827,Beauty,18-07-2025
P0070,7301,Toys,03-07-2025
P0071,11856,Electronics,22-07-2025
P0072,13731,Books,18-07-2025
P0073,4795,Home Kitchen,26-07-2025
P0074,6309,Electronics,10-07-2025
P0075,5300,Laptop,14-07-2025
P0076,1477,Laptop,26-07-2025
P0077,19390,Toys,09-07-2025
P0078,17717,Books,19-07-2025
P0079,6838,Home Kitchen,19-07-2025
P0080,5134,Home Kitchen,02-07-2025
P0081,6602,Books,20-07-2025
P0082,4432,Sports,04-07-2025
P0083,2049,Accessories,03-07-2025
P0084,16159,Beauty,09-07-2025
P0085,6045,Toys,22-07-2025
P0086,10213,Home Kitchen,03-07-2025
P0087,12103,Beauty,02-07-2025
P0088,17641,Toys,23-07-2025
P0089,7659,Accessories,25-07-2025
P0090,3729,Books,17-07-2025
P0091,19777,Stationery,06-07-2025
P0092,16003,Stationery,02-07-2025
P0093,17384,Accessories,26-07-2025
P0094,7636,Home Kitchen,22-07-2025
P0095,17411,Books,22-07-2025
P0096,15044,Stationery,26-07-2025
P0097,15659,Sports,17-07-2025
P0098,13486,Sports,11-07-2025
P0099,17677,Beauty,31-07-2025
P0100,9999,Toys,25-07-2025
P0101,6656,Stationery,01-07-2025
P0102,18288,Stationery,26-07-2025
P0103,9233,Laptop,09-07-2025
P0104,14338,Electronics,17-07-2025
P0105,17625,Electronics,25-07-2025
P0106,2234,Toys,12-07-2025
P0107,10885,Fashion,01-07-2025
P0108,818,Laptop,18-07-2025
P0109,9367,Beauty,21-07-2025
P0110,7257,Fashion,26-07-2025
P0111,6001,Sports,13-07-2025
P0112,16849,Laptop,13-07-2025
P0113,10795,Accessories,13-07-2025
P0114,3607,Home Kitchen,16-07-2025
P0115,8965,Laptop,26-07-2025
P0116,5499,Beauty,28-07-2025
P0117,19942,Home Kitchen,29-07-2025
P0118,17649,Beauty,02-07-2025
P0119,6631,Books,24-07-2025
P0120,1482,Fashion,23-07-2025
P0121,19327,Home Kitchen,06-07-2025
P0122,11063,Accessories,20-07-2025
P0123,5542,Stationery,24-07-2025
P0124,15534,Books,30-07-2025
P0125,18843,Stationery,02-07-2025
P0126,19986,Stationery,05-07-2025
P0127,1163,Sports,06-07-2025
P0128,1186,Electronics,08-07-2025
P0129,19048,Books,05-07-2025
P0130,492,Home Kitchen,26-07-2025
P0131,2013,Books,14-07-2025
P0132,6423,Stationery,20-07-2025
P0133,18404,Beauty,09-07-2025
P0134,5615,Toys,08-07-2025
P0135,18480,Books,06-07-2025
P0136,18979,Books,25-07-2025
P0137,8402,Fashion,03-07-2025
P0138,7721,Beauty,01-07-2025
P0139,16079,Accessories,28-07-2025
P0140,10671,Accessories,11-07-2025
P0141,11181,Sports,13-07-2025
P0142,16303,Home Kitchen,12-07-2025
P0143,19768,Beauty,09-07-2025
P0144,6004,Accessories,27-07-2025
P0145,1174,Sports,20-07-2025
P0146,11498,Home Kitchen,27-07-2025
P0147,16545,Fashion,28-07-2025
P0148,18622,Toys,06-07-2025
P0149,10990,Fashion,10-07-2025
P0150,7647,Home Kitchen,10-07-2025
P0151,15196,Toys,18-07-2025
P0152,9350,Accessories,11-07-2025
P0153,14192,Accessories,13-07-2025
P0154,1419,Sports,05-07-2025
P0155,11459,Beauty,26-07-2025
P0156,13184,Laptop,19-07-2025
P0157,9745,Toys,13-07-2025
P0158,5123,Fashion,13-07-2025
P0159,3616,Accessories,13-07-2025
P0160,18058,Accessories,31-07-2025
P0161,6451,Fashion,28-07-2025
P0162,16556,Home Kitchen,28-07-2025
P0163,9278,Fashion,30-07-2025
P0164,9041,Toys,18-07-2025
P0165,6467,Accessories,17-07-2025
P0166,1734,Toys,05-07-2025
P0167,19655,Accessories,29-07-2025
P0168,12981,Accessories,09-07-2025
P0169,14700,Fashion,30-07-2025
P0170,15159,Home Kitchen,08-07-2025
P0171,5265,Toys,14-07-2025
P0172,12891,Fashion,26-07-2025
P0173,18257,Beauty,05-07-2025
P0174,13433,Stationery,24-07-2025
P0175,17722,Sports,30-07-2025
P0176,16377,Electronics,21-07-2025
P0177,16191,Beauty,14-07-2025
P0178,10365,Fashion,17-07-2025
P0179,11947,Home Kitchen,18-07-2025
P0180,9326,Home Kitchen,28-07-2025
P0181,15414,Toys,12-07-2025
P0182,2737,Toys,07-07-2025
P0183,17758,Accessories,06-07-2025
P0184,16849,Stationery,25-07-2025
P0185,15715,Sports,23-07-2025
P0186,19584,Beauty,06-07-2025
P0187,17554,Accessories,19-07-2025
P0188,3784,Sports,03-07-2025
P0189,19653,Stationery,12-07-2025
P0190,13548,Beauty,03-07-2025
P0191,8447,Electronics,29-07-2025
P0192,1662,Beauty,06-07-2025
P0193,13215,Electronics,31-07-2025
P0194,8307,Accessories,01-07-2025
P0195,11121,Laptop,07-07-2025
P0196,4936,Books,28-07-2025
P0197,10929,Home Kitchen,29-07-2025
P0198,1249,Home Kitchen,01-07-2025
P0199,5803,Beauty,17-07-2025
P0200,8379,Accessories,09-07-2025
P0201,7785,Sports,10-07-2025
P0202,5605,Stationery,01-07-2025
P0203,8896,Electronics,02-07-2025
P0204,15437,Beauty,01-07-2025
P0205,5298,Sports,04-07-2025
P0206,18805,Electronics,17-07-2025
P0207,5817,Fashion,16-07-2025
P0208,17218,Sports,21-07-2025
P0209,8136,Stationery,06-07-2025
P0210,4871,Fashion,15-07-2025
P0211,2407,Toys,19-07-2025
P0212,1091,Electronics,11-07-2025
P0213,18925,Beauty,04-07-2025
P0214,10325,Laptop,23-07-2025
P0215,12464,Laptop,04-07-2025
P0216,16795,Stationery,15-07-2025
P0217,13537,Electronics,02-07-2025
P0218,4173,Home Kitchen,19-07-2025
P0219,12973,Laptop,05-07-2025
P0220,8005,Books,19-07-2025
P0221,209,Stationery,13-07-2025
P0222,19021,Stationery,24-07-2025
P0223,586,Sports,03-07-2025
P0224,6381,Home Kitchen,22-07-2025
P0225,5152,Toys,24-07-2025
P0226,4705,Home Kitchen,30-07-2025
P0227,4132,Stationery,25-07-2025
P0228,6928,Stationery,24-07-2025
P0229,19488,Books,06-07-2025
P0230,3163,Sports,14-07-2025
P0231,18294,Books,26-07-2025
P0232,15960,Electronics,16-07-2025
P0233,1074,Fashion,18-07-2025
P0234,11207,Toys,30-07-2025
P0235,14153,Accessories,19-07-2025
P0236,11476,Beauty,30-07-2025
P0237,16974,Accessories,02-07-2025
P0238,6730,Stationery,04-07-2025
P0239,4431,Sports,17-07-2025
P0240,4746,Electronics,25-07-2025
P0241,9064,Electronics,06-07-2025
P0242,389,Home Kitchen,02-07-2025
P0243,12371,Home Kitchen,23-07-2025
P0244,17785,Books,29-07-2025
P0245,12271,Accessories,30-07-2025
P0246,18707,Home Kitchen,21-07-2025
